CASEID,PAGO,PAGO5,PEXP,PEXP5,AGE,SEX,MARRY,NUMKID
18445,1,1,3,1,41,2,3,5
18446,5,1,5,5,54,1,1,0
18447,5,1,5,5,54,2,4,0
18448,5,1,3,1,37,2,5,0
18449,1,5,3,3,63,1,1,0
18450,5,5,3,3,41,2,1,1
18451,1,1,3,3,18,1,5,1
18452,3,5,3,5,77,1,1,0
18453,5,1,5,1,49,2,1,1
18454,1,1,1,1,33,2,3,2
18455,5,5,5,5,46,2,1,3
18456,5,5,3,5,51,1,1,1
18457,1,1,3,3,25,1,1,1
18458,1,1,1,1,49,1,1,0
18459,3,5,3,3,64,1,4,0
18460,3,3,5,5,54,2,1,0
18461,3,5,3,1,32,2,1,1
18462,5,5,3,3,49,1,1,1
18463,5,5,3,3,41,1,1,2
18464,3,1,3,1,40,2,1,1
18465,5,1,3,1,41,2,1,1
18466,1,1,3,1,29,2,1,2
18467,5,1,1,1,36,2,1,0
18468,5,1,5,1,35,2,3,1
18469,5,5,3,1,30,1,1,0
18470,3,1,5,9,26,1,3,0
18471,5,5,3,3,39,1,1,0
18472,5,1,5,5,55,1,1,0
18473,3,3,3,1,32,1,1,2
18474,1,1,3,1,20,2,5,0
18475,5,5,3,3,57,2,1,0
18476,1,1,1,1,28,2,1,5
18477,3,5,3,5,35,2,1,3
18478,5,5,3,8,45,1,1,0
18480,1,5,3,3,69,1,1,0
18481,3,5,3,5,56,2,4,0
18482,5,5,1,1,19,1,1,1
18483,1,3,1,1,32,1,1,2
18484,1,1,1,1,26,2,1,2
18485,5,5,3,3,34,2,1,5
18486,3,5,5,5,46,2,1,1
18487,1,1,1,1,21,2,1,0
18488,5,5,5,5,29,2,5,0
18489,5,5,3,3,31,1,1,2
18490,3,1,3,1,60,2,3,3
18491,5,8,5,5,25,2,1,0
18492,5,5,3,1,34,1,1,5
18493,1,3,3,3,40,2,1,1
18494,5,5,3,3,30,2,5,0
18495,5,5,5,8,44,2,1,2
18496,5,1,3,1,19,2,5,0
18497,5,1,3,8,47,2,1,1
18498,5,5,5,5,65,1,1,0
18499,3,1,5,5,38,2,1,1
18500,5,3,3,1,45,1,1,1
18501,1,1,3,3,37,2,1,2
18502,5,5,1,3,18,1,5,2
18503,5,5,5,5,54,1,1,2
18504,5,1,3,1,59,2,1,0
18505,5,1,5,3,57,2,3,0
18506,3,1,3,3,81,1,1,0
18507,1,1,1,1,46,1,1,2
18508,3,1,3,1,45,1,1,0
18509,5,5,5,5,39,1,1,2
18510,1,1,3,1,36,1,1,2
18511,1,3,1,3,20,1,5,0
18512,5,5,5,3,35,1,1,3
18513,3,3,3,3,71,2,4,0
18514,5,1,5,5,38,1,1,1
18515,1,1,3,3,29,2,1,2
18516,5,3,5,5,64,1,4,0
18517,5,5,3,5,60,2,4,0
18518,1,1,3,5,55,1,3,0
18519,3,5,8,8,35,2,3,3
18520,1,1,3,3,21,2,5,0
18521,5,5,5,1,62,1,1,0
18522,1,1,1,1,29,1,1,1
18523,1,1,3,1,26,2,1,1
18524,3,1,8,5,62,1,1,0
18525,5,3,3,8,66,1,1,0
18526,1,1,3,1,18,1,5,2
18527,5,1,1,1,46,1,1,0
18528,1,1,3,1,57,2,1,0
18529,3,5,3,5,74,2,4,0
18532,5,8,8,8,20,2,1,0
18533,5,5,5,5,41,1,1,1
18534,1,1,1,1,39,1,1,3
18535,1,1,1,1,30,1,1,2
18536,5,5,3,5,55,2,3,0
18537,3,1,5,1,25,2,5,0
18538,3,3,3,5,55,2,1,5
18539,5,5,3,1,32,2,3,1
18540,5,1,5,5,61,1,1,0
18541,1,1,1,1,80,2,4,0
18542,1,1,3,1,30,1,1,0
18543,3,1,3,1,30,2,1,1
18544,5,5,5,3,76,1,1,0
18545,1,1,3,3,31,1,5,0
18546,5,5,3,3,35,1,1,2
18547,5,5,5,1,50,1,1,1
18548,1,1,3,1,21,2,5,2
18549,5,5,5,3,71,2,1,0
18550,5,5,3,3,34,2,3,1
18551,5,5,3,1,21,2,5,0
18552,1,1,3,3,54,1,1,0
18554,3,1,5,1,38,2,3,3
18555,5,1,3,5,45,2,1,1
18556,1,1,3,1,30,1,5,0
18557,3,3,3,5,35,1,5,0
18558,1,1,5,1,29,2,1,2
18559,1,1,3,1,37,2,1,0
18560,3,5,1,1,30,2,1,3
18561,3,1,3,5,62,2,1,0
18562,5,5,5,5,64,2,1,0
18563,1,1,1,1,23,1,5,1
18564,3,3,3,3,43,1,1,5
18565,1,1,3,3,35,2,1,3
18566,5,5,1,1,28,1,1,2
18568,1,1,3,1,39,2,1,2
18569,5,1,3,1,32,2,1,5
18570,5,5,5,1,66,1,1,5
18571,1,1,3,1,43,2,3,0
18572,5,3,5,5,52,2,1,0
18573,1,1,1,1,27,1,1,1
18574,1,1,3,3,31,1,1,1
18575,5,5,3,1,74,1,4,0
18576,3,5,3,3,19,2,5,0
18577,5,5,3,3,49,1,1,3
18578,1,1,1,1,29,1,1,1
18579,5,5,3,5,70,1,1,0
18580,1,1,1,1,67,1,1,0
18581,5,3,3,1,55,1,1,0
18582,5,3,3,1,51,2,1,0
18583,1,1,3,3,47,1,1,0
18584,1,1,3,3,48,2,1,0
18585,5,1,3,1,32,2,1,2
18586,1,1,1,1,27,1,1,1
18587,3,1,3,5,64,2,1,0
18588,5,5,5,5,56,1,1,0
18589,5,5,5,1,52,1,1,0
18590,1,5,5,5,50,2,1,0
18591,1,1,8,1,52,1,1,1
18592,1,1,3,1,18,2,5,1
18593,1,1,1,1,19,1,1,1
18594,5,5,5,5,69,1,1,0
18595,1,1,3,1,27,2,1,0
18596,5,3,5,3,32,1,1,1
18597,1,1,1,1,23,1,5,0
18598,3,5,3,5,45,2,1,2
18599,3,5,5,5,55,2,1,0
18600,1,1,3,1,25,1,5,0
18601,5,5,3,1,37,1,3,0
18602,5,1,3,1,45,1,1,2
18603,3,1,1,1,22,1,1,1
18606,5,5,5,5,83,2,4,0
18607,1,1,3,1,40,1,1,0
18608,3,5,1,1,31,2,3,2
18610,5,5,3,1,42,1,1,4
18611,3,5,1,1,54,2,1,0
18612,3,5,5,8,74,1,5,0
18613,5,5,3,3,55,2,1,0
18614,5,5,5,5,60,1,3,0
18615,3,1,3,3,51,2,3,0
18617,1,1,1,1,27,1,3,0
18618,1,1,1,1,32,1,1,1
18619,5,5,5,1,54,2,1,1
18620,1,1,1,1,23,1,5,0
18622,5,5,3,3,37,1,1,1
18624,3,1,3,3,61,2,4,2
18625,5,5,3,3,35,1,1,1
18626,5,3,8,8,79,2,4,0
18627,5,1,3,1,30,2,1,2
18628,1,1,1,3,64,2,4,0
18629,3,1,3,3,65,2,1,0
18630,1,1,3,1,28,1,1,1
18631,3,3,3,8,68,1,1,0
18632,1,1,3,3,24,2,1,1
18633,3,1,5,5,54,2,3,0
18634,1,1,1,1,34,2,1,1
18635,5,3,8,3,69,2,4,0
18636,5,1,1,3,36,2,1,3
18637,3,1,3,3,51,1,1,1
18639,1,1,1,1,41,1,1,2
18640,1,1,3,3,21,1,1,0
18641,3,5,3,1,40,1,1,4
18642,5,1,3,1,48,1,1,0
18643,5,5,1,1,43,2,1,0
18645,3,1,3,3,44,2,5,0
18646,1,1,3,3,41,1,1,2
18647,1,1,3,1,20,2,1,0
18648,5,5,8,8,63,2,1,0
18649,5,5,5,5,76,1,1,0
18650,5,1,3,3,30,1,5,0
18651,5,1,3,1,52,2,1,2
18653,3,1,8,3,76,2,4,0
18654,1,1,3,1,20,1,1,0
18655,5,3,1,1,30,1,5,0
18656,5,5,3,3,58,2,4,0
18657,5,5,5,5,48,2,1,0
18658,1,1,5,3,60,1,5,0
18659,1,9,3,3,25,1,1,0
18660,1,1,3,3,24,2,5,0
18661,5,5,1,1,18,1,5,1
18662,3,5,1,1,37,2,3,0
18663,5,5,5,1,53,2,1,3
18664,3,3,3,1,54,2,1,0
18665,1,1,3,3,30,2,1,2
18666,1,1,5,5,21,1,5,3
18667,5,5,3,3,19,2,5,3
18668,5,1,1,1,25,1,1,0
18669,5,5,5,5,40,1,1,3
18670,3,1,3,1,28,2,1,2
18671,3,5,5,3,33,2,1,1
18672,1,5,5,1,21,1,5,1
18673,1,1,5,1,27,2,1,1
18674,1,5,3,1,55,1,1,0
18675,5,1,3,1,30,2,1,3
18676,5,1,3,5,32,2,1,2
18677,3,1,3,1,44,2,1,0
18678,5,5,3,5,18,2,5,2
18679,5,5,3,5,25,1,1,1
18680,5,5,5,5,58,1,1,0
18681,5,1,5,5,55,2,4,0
18682,1,1,5,3,40,2,1,3
18683,1,3,3,3,22,1,1,2
18685,1,1,1,1,33,1,1,2
18687,5,1,3,3,23,2,5,0
18688,3,3,3,3,53,2,4,0
18689,1,1,5,3,32,2,1,2
18690,1,1,3,3,67,2,1,0
18691,1,1,3,1,26,1,1,0
18692,5,3,3,5,64,2,4,0
18693,3,9,3,3,67,1,4,0
18694,1,1,3,1,18,2,5,0
18695,9,5,9,3,70,2,1,0
18696,3,5,3,3,71,2,4,0
18697,5,1,5,5,58,1,1,0
18698,3,3,3,5,58,2,1,0
18699,1,1,1,1,42,1,1,1
18700,9,5,5,8,18,2,5,2
18701,5,5,3,3,38,1,3,0
18702,5,5,3,1,30,1,1,3
18703,5,5,5,5,33,1,1,0
18704,5,5,3,1,33,2,1,2
18705,1,3,5,8,45,1,1,1
18706,1,1,3,1,28,2,1,1
18707,3,3,3,3,77,2,1,0
18708,5,1,5,1,28,2,5,0
18710,1,1,3,1,20,1,5,0
18711,3,3,3,3,62,2,1,1
18712,5,5,8,1,27,2,5,0
18713,5,1,3,5,32,2,1,2
18714,5,1,5,5,67,1,4,0
18715,1,5,5,5,61,2,4,0
18716,3,3,3,1,29,2,3,0
18717,3,1,3,1,31,2,1,1
18718,1,1,3,3,29,2,1,1
18719,1,8,3,3,21,2,1,1
18720,5,5,5,5,36,2,3,4
18721,5,5,5,5,63,1,3,0
18722,5,5,5,5,74,2,3,0
18723,1,1,3,1,18,2,5,0
18724,5,5,5,1,31,1,1,0
18725,1,1,3,3,62,2,1,0
18727,5,1,5,5,36,1,1,2
18728,1,1,1,1,26,1,1,3
18729,3,1,3,1,33,2,3,2
18730,1,1,3,1,20,1,5,0
18731,5,5,5,3,45,2,3,1
18732,5,5,5,3,67,2,1,0
18733,5,5,3,5,45,1,1,2
18734,5,1,3,5,42,2,1,0
18735,5,3,8,3,50,2,1,0
18736,3,3,3,3,83,2,4,0
18737,3,1,1,1,59,2,1,0
18738,5,1,1,1,29,2,3,2
18739,3,1,3,3,21,1,5,0
18740,1,1,3,3,55,1,5,0
18741,1,1,3,3,26,1,5,0
18742,1,5,3,3,31,2,1,3
18743,5,1,3,1,39,2,3,0
18744,3,1,3,5,61,2,1,0
18745,3,1,3,8,72,2,1,0
18746,3,5,3,3,44,1,4,1
18747,3,1,3,3,35,2,1,2
18749,1,1,1,3,57,1,5,0
18750,3,1,1,1,19,2,1,0
18751,5,5,1,1,35,2,3,0
18752,3,1,3,5,62,1,1,0
18753,3,3,3,3,49,2,4,0
18754,3,5,5,9,79,2,4,0
18755,5,1,3,1,26,2,1,0
18756,3,5,3,8,52,2,4,0
18758,1,1,3,1,27,2,3,1
18759,5,1,3,3,57,2,1,2
18760,1,1,1,3,35,1,1,2
18761,1,1,3,3,52,1,1,1
18762,5,5,1,1,28,2,1,2
18763,5,5,3,1,23,2,1,1
18764,1,1,3,1,24,1,5,0
18765,5,1,1,1,29,1,3,0
18766,3,8,3,5,20,2,1,0
18767,3,1,5,3,39,1,1,2
18768,5,1,3,5,69,2,4,0
18769,3,5,1,5,34,2,1,4
18770,3,1,3,5,19,1,5,0
18771,5,5,1,1,59,1,1,0
18772,1,1,3,1,48,2,1,0
18773,1,1,1,1,53,1,1,0
18774,5,1,1,1,18,2,5,5
18776,5,5,3,1,33,2,1,3
18777,5,5,5,5,70,1,1,0
18778,5,5,5,3,35,2,4,5
18779,3,1,1,1,27,1,3,1
18780,1,1,3,1,64,1,1,0
18781,5,5,5,1,36,1,1,2
18782,5,5,5,5,32,1,1,2
18784,1,1,3,3,20,2,5,0
18785,5,1,3,3,40,2,1,2
18786,3,5,5,5,50,1,1,3
18787,5,1,1,1,24,2,3,1
18788,1,1,3,1,35,2,1,2
18789,1,1,3,1,18,2,5,2
18790,5,5,5,1,66,2,4,0
18791,3,5,3,3,21,2,5,0
18792,3,1,5,8,50,1,1,0
18793,5,5,5,3,65,2,4,0
18794,3,3,1,1,26,1,1,0
18795,1,1,5,3,25,2,1,0
18796,1,1,1,1,25,2,5,0
18797,5,1,5,1,33,2,3,1
18798,1,1,1,1,77,1,4,0
18799,1,1,8,8,32,1,1,1
18800,5,1,5,5,49,1,1,2
18801,3,1,5,5,51,2,1,0
18802,3,5,5,5,40,2,3,0
18803,3,3,3,3,72,2,4,0
18804,3,5,5,5,36,2,1,3
18805,5,1,3,3,34,2,5,0
18806,1,1,3,3,50,2,1,1
18807,1,5,3,3,25,2,1,1
18808,5,5,3,5,62,2,1,0
18809,5,5,3,5,35,2,3,0
18810,1,1,3,3,22,1,5,0
18811,5,9,5,1,24,2,1,0
18812,5,1,1,3,31,1,1,0
18813,5,3,1,1,36,1,1,3
18814,1,1,3,3,38,1,1,2
18815,1,1,1,1,24,2,1,2
18817,5,1,5,3,60,2,1,0
18818,5,1,1,1,30,1,1,2
18819,3,1,1,1,36,1,1,0
18820,3,5,5,5,42,1,1,1
18821,1,5,3,5,32,2,1,2
18822,3,1,1,9,32,1,1,2
18823,5,5,5,5,30,2,1,2
18824,1,1,5,5,21,2,1,1
18825,3,1,3,3,35,2,1,2
18826,3,5,3,1,30,2,1,1
18827,5,9,3,3,26,2,1,2
18828,5,5,3,3,40,1,1,1
18829,1,1,3,3,19,1,5,1
18830,5,5,3,8,80,2,4,0
18831,1,1,5,1,23,1,5,0
18832,5,5,5,5,70,2,4,0
18833,5,5,3,1,57,2,1,0
18834,5,1,3,1,42,1,1,2
18835,5,5,5,5,63,2,1,0
18836,1,1,1,1,28,2,1,0
18837,1,1,3,3,29,2,1,3
18838,1,1,3,1,29,2,1,2
18839,3,1,3,1,39,2,1,4
18840,5,1,5,5,40,2,1,0
18841,5,5,9,9,87,1,4,0
18842,1,1,5,1,18,1,5,0
18843,5,5,3,3,27,2,3,1
18844,1,3,3,3,30,2,3,0
18845,1,1,1,1,39,1,5,0
18846,5,5,5,1,49,2,4,0
18847,5,1,3,3,47,2,3,0
18848,5,5,3,3,64,1,1,0
18849,5,1,1,1,63,2,1,0
18850,1,5,5,1,28,2,1,2
18851,5,3,3,3,78,2,4,0
18852,3,5,5,3,27,2,1,0
18853,3,5,3,5,43,2,1,3
18854,1,1,1,1,27,1,1,2
18856,5,5,3,5,53,2,4,0
18857,5,1,5,5,64,2,1,0
18858,5,5,3,5,30,2,1,1
18859,5,5,5,5,72,2,1,0
18860,3,5,5,5,30,1,1,0
18861,5,5,3,3,53,2,3,1
18862,5,5,5,5,59,2,4,0
18863,5,5,5,5,65,2,3,0
18864,1,1,3,3,32,2,5,5
18865,5,1,1,1,25,1,1,2
18866,1,1,1,1,53,1,1,0
18867,1,1,3,3,38,2,1,3
18868,1,1,3,1,26,1,1,0
18869,5,5,1,5,56,2,4,0
18870,1,8,5,5,54,2,4,0
18871,5,1,5,5,30,2,1,2
18872,3,5,5,5,54,1,1,0
18873,3,1,3,1,42,2,1,3
18874,1,5,5,5,29,1,1,2
18875,5,5,3,3,23,2,1,2
18876,1,1,1,3,50,2,1,2
18877,5,5,3,1,27,2,1,1
18878,5,5,9,1,40,2,1,1
18879,1,1,1,1,29,2,1,3
18880,5,1,3,3,28,2,1,2
18881,5,5,5,1,27,2,1,0
18882,5,5,5,5,57,2,4,0
18883,1,5,5,5,55,2,1,0
18884,5,5,3,5,25,2,5,1
18885,5,1,3,5,32,2,1,4
18886,3,5,5,5,50,1,1,1
18887,5,1,3,5,22,2,3,2
18888,3,1,1,3,89,2,5,1
18889,3,1,1,3,32,2,1,1
18890,1,1,3,1,36,1,1,2
18891,5,1,1,1,20,2,1,1
18892,1,1,3,3,29,1,1,0
18895,5,5,5,3,27,2,5,0
18896,3,1,3,1,31,2,1,1
18897,1,1,3,1,52,1,1,1
18898,3,3,3,3,28,1,5,1
18899,1,1,5,5,61,2,1,0
18900,1,1,1,1,21,1,5,2
18901,5,1,3,1,37,1,1,3
18902,5,5,1,1,51,1,1,4
18903,3,5,3,5,75,2,4,0
18904,5,5,5,3,54,2,1,0
18905,5,1,1,5,34,2,3,3
18906,5,5,1,1,65,2,4,0
18907,3,1,5,8,75,2,4,0
18908,3,8,3,3,85,2,4,0
18909,3,1,1,1,35,2,1,1
18910,3,1,3,1,33,2,1,0
18911,5,1,3,1,19,1,5,0
18912,5,3,3,5,74,1,4,0
18913,1,1,3,1,19,1,5,0
18914,1,1,1,1,20,1,5,0
18915,5,1,1,1,50,2,1,3
18916,5,1,1,1,19,1,5,0
18917,1,1,1,1,26,1,1,1
18918,5,1,5,5,44,2,3,0
18919,5,1,5,5,27,1,5,0
18920,5,5,5,1,40,2,1,0
18921,5,5,3,8,48,1,1,0
18922,5,5,3,3,56,1,1,0
18923,5,1,3,1,44,2,1,2
18924,5,5,3,1,24,1,5,0
18925,3,1,5,1,27,1,1,0
18926,1,1,3,1,28,2,5,0
18927,1,5,1,1,22,2,1,1
18928,5,1,5,5,53,1,1,1
18929,3,3,3,3,19,1,5,0
18930,1,1,1,3,37,2,1,0
18931,3,1,3,1,37,2,3,0
18932,1,5,3,3,44,2,4,0
18933,1,1,3,3,40,2,1,1
18935,1,1,3,5,60,1,1,0
18936,3,1,3,3,36,1,5,0
18937,1,1,1,1,20,1,5,0
18938,3,1,3,3,58,1,1,2
18939,1,1,3,3,54,1,1,0
18940,3,3,1,9,77,1,4,0
18941,1,5,5,5,52,2,1,1
18942,1,1,3,1,49,2,1,0
18943,3,5,3,3,88,2,4,0
18944,5,1,1,1,32,2,1,1
18945,1,1,5,5,60,2,4,1
18946,1,1,1,1,25,2,5,0
18947,5,1,3,3,27,2,1,0
18948,5,5,5,1,75,2,1,0
18949,3,1,1,8,42,2,3,3
18950,1,1,1,1,21,2,5,1
18951,5,5,3,3,74,2,1,0
18952,3,5,3,3,75,2,1,0
18953,5,1,3,5,19,2,1,0
18954,3,1,1,1,24,1,1,0
18955,1,1,5,5,19,2,5,3
18956,5,5,3,1,25,1,1,2
18957,1,1,1,1,40,1,1,2
18958,3,1,3,5,65,2,4,0
18959,5,1,1,1,35,1,1,2
18960,5,5,3,3,60,2,4,0
18961,1,5,3,8,19,1,5,0
18962,5,5,3,1,21,1,1,3
18963,1,1,3,3,30,2,1,2
18964,1,1,3,3,50,1,5,0
18965,3,1,1,3,54,1,1,0
18966,5,5,5,5,84,1,4,0
18967,3,1,3,5,21,2,1,2
18968,1,1,5,5,23,2,1,2
18969,5,1,1,1,29,2,5,1
18970,5,3,3,3,81,1,1,0
18971,5,5,3,1,30,1,1,3
18972,5,5,3,3,49,2,1,2
18973,1,1,3,3,30,1,1,3
18975,1,1,3,1,29,2,5,0
18976,1,1,1,1,27,1,1,1
18977,1,1,1,1,36,2,1,0
18978,1,1,3,1,29,2,1,2
18979,1,5,3,1,25,1,1,0
18980,3,5,5,5,48,1,3,0
18981,1,5,5,5,53,2,1,0
18983,1,1,3,1,20,2,5,4
18984,3,5,5,1,67,2,1,0
18985,1,5,5,3,34,2,1,3
18986,5,1,5,5,30,1,3,0
18987,5,5,5,1,69,1,3,0
18988,5,5,5,3,63,2,3,0
18989,3,5,1,1,26,1,5,0
18990,5,5,5,1,34,1,1,3
18991,5,5,5,3,35,1,1,2
18992,1,1,3,1,52,2,3,0
18993,3,5,1,1,38,1,3,0
18994,1,1,3,3,31,2,1,2
18995,1,1,5,3,32,2,1,2
18996,5,1,3,3,72,2,5,0
18998,1,5,5,3,33,2,1,0
18999,5,1,3,1,60,2,1,2
19000,1,5,1,1,33,2,1,3
19001,1,1,1,1,43,1,3,0
19002,5,5,3,1,23,1,5,2
19003,3,5,1,1,19,1,5,2
19004,3,3,3,3,68,2,1,0
19005,5,5,5,3,43,2,3,2
19006,1,1,1,1,23,2,5,0
19007,5,1,5,1,63,2,1,0
19008,5,5,3,3,54,2,4,0
19009,1,1,3,1,28,2,5,0
19010,5,5,1,1,44,2,3,0
19011,5,1,3,3,47,2,1,0
19012,1,1,1,1,59,2,5,0
19013,3,3,5,5,73,1,1,0
19014,1,1,1,1,40,1,3,0
19015,1,3,5,5,30,1,3,0
19016,1,1,5,3,44,2,1,2
19017,3,5,3,3,27,1,1,0
19018,5,5,9,5,60,2,1,0
19019,1,8,1,1,22,2,1,0
19020,3,5,5,5,60,2,4,0
19021,1,5,1,1,19,1,5,1
19022,1,1,1,1,24,2,5,0
19023,1,5,1,3,26,2,1,0
19024,5,1,1,1,30,2,1,1
19025,5,5,5,3,25,1,1,0
19026,3,1,3,3,51,1,1,0
19027,5,5,5,5,61,1,1,0
19028,3,1,1,1,28,1,1,0
19029,1,1,3,1,18,1,5,1
19030,5,5,5,5,73,2,4,0
19031,5,1,3,3,57,2,1,0
19032,5,5,1,3,37,2,1,2
19033,5,5,1,1,26,2,5,0
19034,5,5,3,1,61,1,1,0
19035,1,1,1,1,24,1,5,0
19037,5,1,1,1,19,2,5,0
19038,5,5,3,3,46,2,1,1
19039,1,1,3,1,28,2,1,1
19040,1,1,1,1,26,1,3,0
19041,3,3,3,1,56,1,1,4
19042,1,3,5,5,62,2,1,0
19043,3,5,5,5,47,1,1,1
19044,3,5,1,1,39,1,1,3
19045,3,1,3,3,52,1,3,2
19046,1,1,1,1,32,2,1,2
19047,5,5,3,1,43,1,1,3
19048,3,3,3,3,69,2,4,1
19049,3,1,5,3,59,2,4,0
19050,5,5,5,5,30,1,5,0
19051,1,1,1,3,37,2,1,5
19052,3,1,3,3,70,1,4,0
19053,1,1,1,1,28,1,1,2
19054,5,5,5,3,40,2,3,3
19055,5,1,3,3,31,2,5,2
19056,1,1,3,1,37,1,1,1
19057,5,5,3,5,65,2,3,0
19058,1,8,8,8,41,1,3,0
19059,5,3,5,5,54,1,1,0
19060,1,1,1,1,62,1,4,0
19062,5,5,5,3,48,1,1,1
19063,1,1,1,3,31,2,1,2
19064,1,5,3,3,19,1,5,0
19065,5,1,5,3,23,2,1,1
19066,1,1,1,1,77,2,1,0
19068,1,1,3,3,29,2,1,3
19069,1,5,1,1,23,2,5,0
19071,3,5,3,5,42,1,1,2
19073,5,8,1,1,25,2,1,1
19074,1,1,5,5,20,2,5,0
19075,1,1,1,1,49,2,3,0
19077,3,3,3,3,70,2,1,0
19078,5,1,1,1,42,1,5,0
19079,3,3,3,1,29,2,1,1
19080,5,5,5,5,67,1,4,0
19081,1,5,1,1,38,1,1,2
19082,3,1,5,1,49,2,1,1
19083,3,1,1,9,79,2,4,0
19084,5,1,3,1,26,1,1,0
19085,5,3,3,3,70,2,4,0
19086,1,1,1,1,35,2,1,2
19087,1,1,3,3,30,2,1,1
19088,5,1,1,1,48,2,5,0
19089,3,1,5,3,27,2,1,0
19090,1,1,1,1,31,1,1,1
19091,1,1,3,1,30,2,1,2
19092,3,5,5,5,34,2,1,3
19094,3,1,1,1,65,2,1,0
19095,1,1,1,1,72,2,3,0
19096,3,5,1,1,30,2,1,1
19097,3,1,3,1,28,1,1,0
19098,5,1,3,5,35,2,1,3
19099,1,5,1,1,55,2,4,0
19100,5,1,3,3,42,2,1,3
19101,5,1,3,1,29,1,1,2
19102,3,5,3,3,32,2,1,2
19103,5,1,1,3,28,2,1,0
19104,5,5,1,1,31,2,3,2
19105,1,5,1,3,27,1,1,3
19106,5,5,1,5,51,2,3,1
19107,1,1,5,5,48,1,3,0
19108,1,1,1,1,30,1,1,0
19109,1,3,1,1,25,1,5,0
19110,5,5,1,1,29,1,1,0
19111,1,1,5,8,59,1,1,0
19112,5,1,3,1,30,1,1,3
19113,3,3,3,3,77,1,1,0
19114,3,5,5,3,57,1,3,0
19115,1,1,1,1,30,2,1,2
19117,5,5,3,1,22,1,5,1
19119,1,1,3,1,19,1,5,0
19120,1,5,3,3,33,1,5,0
19121,5,5,3,5,45,1,1,1
19122,1,3,1,1,29,2,1,2
19123,3,1,5,5,25,1,1,1
19125,5,5,3,3,48,1,1,1
19126,5,1,1,1,40,1,3,0
19127,1,1,1,1,23,1,1,0
19128,3,5,1,1,26,2,1,1
19129,5,5,5,5,64,2,1,0
19130,5,1,1,1,22,1,5,2
19131,1,5,1,1,22,2,1,1
19132,1,1,3,3,90,2,4,0
19133,5,1,3,8,28,1,1,0
19134,1,1,5,5,26,1,1,2
19135,5,1,3,1,32,2,3,0
19136,5,5,5,5,62,1,1,0
19137,5,5,1,1,26,2,1,2
19138,5,5,1,1,19,2,3,1
19140,1,1,3,1,37,1,1,0
19141,1,1,3,1,28,2,5,0
19142,1,1,1,1,32,2,1,0
19143,1,1,3,5,35,1,3,0
19144,5,5,5,3,57,1,1,0
19145,1,1,1,1,48,2,3,1
19146,1,1,3,1,36,1,1,2
19147,1,5,1,1,38,1,1,3
19149,3,5,5,3,37,1,1,2
19150,1,1,3,1,24,1,1,1
19152,3,3,8,8,33,1,5,0
19153,1,1,3,3,24,1,1,0
19154,3,9,3,3,62,2,1,0
19155,3,5,1,1,21,2,5,1
19156,1,1,3,3,52,1,1,2
19157,1,3,1,1,35,2,1,5
19160,1,1,1,1,18,1,5,0
19161,1,5,1,1,18,2,5,3
19162,3,1,3,3,62,2,1,0
19163,1,1,1,1,29,1,5,0
19164,1,1,1,1,40,1,1,1
19165,1,1,3,3,25,1,1,1
19166,5,5,5,3,38,1,1,2
19167,3,5,3,5,49,1,1,2
19168,1,5,1,1,50,2,3,1
19169,3,1,3,3,46,2,1,0
19170,5,5,3,1,46,2,1,0
19171,1,1,3,1,23,2,5,0
19172,1,1,1,1,34,1,1,2
19173,5,1,1,5,53,1,1,0
19174,5,5,3,1,30,1,1,0
19175,5,1,3,5,20,1,5,2
19176,5,3,3,5,40,2,1,2
19177,1,1,1,1,21,1,5,0
19178,3,1,3,3,43,2,1,4
19179,3,3,1,1,42,2,1,2
19180,3,1,1,1,33,2,1,1
19181,1,1,3,5,32,1,1,2
19182,5,5,5,5,70,1,1,0
19183,1,3,3,3,73,2,4,0
19184,1,1,3,3,56,1,1,0
19185,3,1,1,1,21,1,5,0
19186,3,1,3,1,21,2,5,0
19187,5,3,3,3,50,2,1,0
19188,1,1,3,1,19,1,5,0
19189,3,5,5,8,67,2,4,0
19190,5,1,3,1,38,2,1,1
19191,1,1,9,9,27,2,3,2
19192,3,3,5,5,62,1,4,2
19193,5,5,3,3,38,2,1,2
19194,5,1,1,1,20,2,5,0
19195,5,1,3,3,19,2,5,1
19196,1,1,5,5,57,1,1,0
19197,5,1,3,1,20,2,5,1
19198,1,1,3,1,24,2,1,1
19199,5,1,3,3,23,1,5,0
19200,3,3,1,1,25,1,3,0
19203,1,1,3,3,53,1,1,0
19205,1,1,1,1,23,1,5,0
19206,5,1,1,3,32,2,1,0
19207,5,5,3,1,43,2,1,3
19208,5,5,5,5,34,1,1,0
19209,1,1,1,1,36,2,1,2
19210,1,1,3,3,51,1,1,0
19211,1,1,3,1,23,1,1,0
19212,3,1,5,3,37,2,1,2
19214,1,1,3,1,32,2,1,2
19215,1,3,3,3,41,1,1,1
19216,1,1,9,9,21,1,5,1
19217,3,3,5,3,51,1,1,0
19218,1,1,3,3,38,2,1,2
19219,5,1,3,5,46,1,1,2
19220,5,5,5,5,36,2,3,1
19221,1,1,5,1,26,1,5,0
19222,5,5,3,5,42,1,1,2
19224,1,1,3,1,24,2,5,0
19225,1,1,5,3,58,1,1,0
19226,3,3,1,1,61,2,5,0
19227,5,5,3,3,24,1,5,0
19228,3,5,5,3,30,1,1,1
